"","gene","fitness","variance","d6toinput","normd7toinputA","normd6toinputA","norminput","normd6toinputB","normd6toinputC","normd6toinputD","day4abs","day5absmax","day6abs","lower","upper","input","file","experiment"
"25","PBANKA_120200",0.68141377920014,0.00768837040594748,0.0925928920865227,0.013917583480746,0.0182270129027961,6.5,0.0351130136969138,0.0286303021833623,0.0461753903877478,0.00222292791362337,0.00341492715326228,0.00228884693736068,0.580165764201014,0.782661794199267,0.0164928926889848,"./countfiles//inv1.csv","inv1"
"26","PBANKA_122440",0.435784598145957,0.0107729973558202,0.0336000814180208,0.00377576403965369,0.00661421307554565,6.63309859154929,0.0127418000719313,0.0103893556266133,0.0167561120683803,0.00317799898284931,0.00118666167166516,0.00114975629006282,0.315934706721613,0.5556344895703,0.0168306128101352,"./countfiles//inv1.csv","inv1"
"27","PBANKA_122540",1.02093665947515,0.00570633919168773,1.699997745341,0.38744938659134,0.334646430636384,7.80211267605634,0.644671991248554,0.52564995069672,0.847776300971999,0.0281435567324154,0.050113957192279,0.043191586940987,0.933710217064698,1.1081631018856,0.0197968318636254,"./countfiles//inv1.csv","inv1"
"28","PBANKA_145910",0.996023432922282,0.00541100235574478,1.78716468799949,0.405819374108301,0.351805339411466,8.89014084507042,0.677727380085805,0.552602515331815,0.891245810514925,0.033542095951215,0.0573585749510095,0.036591687198029,0.911084220495631,1.08096264534893,0.0225575598381088,"./countfiles//inv1.csv","inv1"
"29","PBANKA_133660",1.03096252748795,0.00414780016521432,2.4482018158305,0.560027476838013,0.481931226903394,7.01267605633803,0.928405431074961,0.756999335624875,1.22090013657129,0.0425890066544577,0.0454772819556173,0.0427969581586834,0.956595866810693,1.1053291881652,0.0177937405630456,"./countfiles//inv1.csv","inv1"
"30","PBANKA_110650",0.582036602101002,0.0103522468031641,0.2000186173811,0.0281945670622664,0.0393738853777029,7.12394366197183,0.0758509243363681,0.0618470092992457,0.0997478049800993,0.00806796285728612,0.00726090648436437,0.00334901182819783,0.46455045084243,0.699522753359574,0.0180760674368115,"./countfiles//inv1.csv","inv1"
"31","PBANKA_133580",1.04713468738778,0.00291633304452418,2.56239224110519,0.574574860936619,0.504409738028337,8.79788732394366,0.971708646649867,0.792307730344917,1.27784605700625,0.0432503933698966,0.0629667335565612,0.0522851139623929,0.984777297614273,1.1094920771613,0.0223234786959357,"./countfiles//inv1.csv","inv1"
"32","PBANKA_130520",0.994125721926834,0.00300766868563575,4.73683344987647,0.988681634399852,0.93245088757587,2.3612676056338,1.7962987661093,1.4646585715834,2.36222380380345,0.0235257881127079,0.0266658168060654,0.0177838927462964,0.930799385271529,1.05745205858214,0.00599140511226067,"./countfiles//inv1.csv","inv1"
"33","PBANKA_124060",0.167130609878152,0.0333730630859897,0.0340068019950377,0.00928555116181061,0.00669427646959315,8.31549295774648,0.0128960363731181,0.0105151161764977,0.0169589406116873,0.00271956486962086,0.00225402931284546,0.00207766721061445,-0.0438134998949973,0.3780747196513,0.0210994666166341,"./countfiles//inv1.csv","inv1"
"34","PBANKA_112810",0.987300356732232,0.00314021537848977,0.848078880049801,0.178370056116652,0.166945262653769,9.14929577464789,0.3216078973257,0.262231301604278,0.422930664367956,0.0252091008722187,0.0234109302632212,0.0270480700519417,0.922593681357999,1.05200703210647,0.0232151312909307,"./countfiles//inv1.csv","inv1"
